# Obsidian Plugins
Generated on Sun Apr  6 13:06:38 PDT 2025


"Name","Version","Description","Author URL","Help URL"
"AI Assistant","1.6.1","AI Assistant plugin for Obsidian","N/A","N/A"
"AI Chat as Markdown","1.5.0","Multiple branching AI conversations as Markdown hierarchy","https://charlbotha.com/","N/A"
"Arcana","1.6.17","A collection of AI powered tools","https://github.com/A-F-V","N/A"
"AI Chat","1.0.2","Chat with AI about your notes.","https://github.com/arenasys","N/A"
"Better Word Count","0.10.1","Counts the words of selected text in the editor.","https://lukeleppan.com","N/A"
"Calendar","1.5.10","Calendar view of your daily notes","https://github.com/liamcain/","N/A"
"Close Similar Tabs","3.1.7","Avoid to have a file opened several times in your tabs. (+setting: by window or everywhere)","","N/A"
"Editor Syntax Highlight","0.1.3","Show syntax highlighing in code blocks the editor","https://github.com/deathau","N/A"
"Commander","0.5.2","Customize your workspace by adding commands everywhere, create Macros and supercharge your mobile toolbar.","https://github.com/phibr0","N/A"
"Copilot","2.8.8","An AI Copilot in Obsidian.","https://twitter.com/logancyang","N/A"
"Copilot auto completion","1.1.3","Adds a highly configurable copilot-like auto-completion to Obsidian using the ChatGPT API.","https://jordismit.com","N/A"
"Copy document as HTML","0.8.1","Copy the current document to clipboard as HTML, including images, diagrams etc...","https://github.com/mvdkwast","N/A"
"Image Context Menus","1.9.1","Copy to clipboard, Open in default app, Show in system explorer, Reveal file in navigation, Open in new tab context menus for images. Also has an pen PDF externally context menu.","https://github.com/NomarCub","N/A"
"CustomJS","1.0.21","This plugin lets you use custom javascript files inside your vault.","https://github.com/samlewis0602","N/A"
"Tab Switcher","1.4.0","Switch your tabs with Ctrl + Tab in recently used order like in a browser.","https://github.com/Vinzent03","N/A"
"Quick Switcher++","5.0.0","Enhanced Quick Switcher, search open panels, and symbols.","https://github.com/darlal/obsidian-switcher-plus","N/A"
"Dataview","0.5.68","Complex data views for the data-obsessed.","https://github.com/blacksmithgu","https://blacksmithgu.github.io/obsidian-dataview/"
"List Open Panes","1.0.0","This is a plugin for Obsidian that adds a commpand to list the open panes as wikilinks at the current selection.","https://obsidian.md","N/A"
"Editing Toolbar","3.1.13","The Obsidian Editing Toolbar is modified from cmenu, which provides more powerful customization settings and has many built-in editing commands to be a MS Word-like toolbar editing experience.","https://github.com/cumany/obsidian-editing-toolbar","N/A"
"Emoji Shortcodes","2.2.0","This Plugin enables the use of Markdown Emoji Shortcodes :smile:","https://github.com/phibr0","N/A"
"Fantasy Calendar","3.0.0","Fantasy calendars in Obsidian!","https://github.com/fantasycalendar/obsidian-fantasy-calendar","N/A"
"File Tree Alternative","2.6.0","This plugin allows you to have an alternative file tree view.","https://www.ozan.pl","N/A"
"Find orphaned files and broken links","1.10.1","Find files that are not linked anywhere and would otherwise be lost in your vault. In other words: files with no backlinks.","https://github.com/Vinzent03","N/A"
"Folder notes","1.7.35","Create notes within folders that can be accessed without collapsing the folder, similar to the functionality offered in Notion.","https://github.com/LostPaul","https://lostpaul.github.io/obsidian-folder-notes/"
"Hard Breaks","0.1.1","Turn soft line breaks in Markdown into hard line breaks","https://github.com/bkis/obsidian-hard-breaks","N/A"
"Highlightr","1.2.2","A minimal and aesthetically pleasing highlighting menu that makes color-coded highlighting much easier with a configurable assortment of highlight colors 🎨.","https://github.com/chetachiezikeuzor","N/A"
"Homepage","4.2","Open a specified note, canvas, or workspace on startup, or set it for quick access later.","https://novov.me","N/A"
"Hotkey Helper","0.3.20","Easily see and access any plugin's settings or hotkey assignments (and conflicts) from the Community Plugins tab","https://github.com/pjeby","N/A"
"Hotkeys++","0.2.7","Additional hotkeys to do common things in Obsidian","https://argentinaos.com","N/A"
"Image Magician","0.1.9","Supports viewing and exporting various image formats powerd by ImageMagick.","https://github.com/luxmargos","N/A"
"Janitor","1.0.7","Performs cleanup tasks on the Obsidian vault","https://github.com/Canna71","N/A"
"Markdown Table Editor","0.3.1","An Obsidian plugin to provide an editor for Markdown tables. It can open CSV, Microsoft Excel/Google Sheets data as Markdown tables from Obsidian Markdown editor.","https://ganesshkumar.com","N/A"
"Mononote","1.2.2","Ensures each note occupies only one tab. If a note is already open, its existing tab will be focussed instead of opening the same file in the current tab.","https://github.com/czottmann","N/A"
"Mousewheel Image zoom","1.0.22","This plugin enables you to increase/decrease the size of an image by scrolling","https://github.com/nicojeske/mousewheel-image-zoom","N/A"
"MSG Handler","0.0.6","Easily display and search MSG files from Outlook in your Obsidian Vault","https://www.ozan.pl","N/A"
"Natural Language Dates","0.6.2","Create date-links based on natural language","https://argentinaos.com/","N/A"
"Note Refactor","1.8.2","Extract note content into new notes and split notes","N/A","N/A"
"Admonition","10.3.2","Enhanced callouts for Obsidian.md","","N/A"
"Advanced Slides","1.20.0","Create markdown-based presentations in Obsidian","https://github.com/MSzturc","N/A"
"Annotator","0.2.11","This is a sample plugin for Obsidian. It allows you to open and annotate PDF and EPUB files.","https://obsidian.md/about","N/A"
"Auto Link Title","1.5.5","This plugin automatically fetches the titles of links from the web","https://github.com/zolrath","N/A"
"Banners","1.3.3","Add banner images to your notes!","https://github.com/noatpad","N/A"
"Book Search","0.7.5","Helps you find books and create notes.","https://github.com/anpigon","N/A"
"Charts","3.9.0","This Plugin lets you create Charts within Obsidian","https://github.com/phibr0","N/A"
"Copy Block Link","1.0.4","Get links to blocks and headings from Obsidian's right click menu","https://github.com/mgmeyers/obsidian-copy-block-link","N/A"
"Copy Search URL","1.2.1","Adds a button to the search view for copying the Obsidian search URL.","https://github.com/czottmann","N/A"
"Custom Attachment Location","7.2.0","Customize attachment location with variables(${fileName}, ${date:format}, etc) like typora.","https://github.com/RainCat1998/","N/A"
"Emoji Toolbar","0.4.1","Quickly search for and insert emojis into your notes.","https://github.com/oliveryh/obsidian-emoji-toolbar","N/A"
"Excalidraw","2.9.2","An Obsidian plugin to edit and view Excalidraw drawings","https://www.zsolt.blog","https://github.com/zsviczian/obsidian-excalidraw-plugin#readme"
"Excel to Markdown Table","0.4.0","An Obsidian plugin to paste data from Microsoft Excel, Google Sheets, Apple Numbers and LibreOffice Calc as Markdown tables in Obsidian editor.","https://ganesshkumar.com","N/A"
"Folder Index","1.0.29","This Plugin will automatically generate a TOC for the current Folder.","https://turulix.de/","N/A"
"Git","2.32.1","Integrate Git version control with automatic backup and other advanced features.","https://github.com/Vinzent03","N/A"
"Icons","0.3.0","Add icons to your Obsidian notes.","https://github.com/visini","N/A"
"Image Toolkit","1.4.2","This plugin provides some image viewing toolkit.","https://github.com/sissilab","N/A"
"Kanban","2.0.51","Create markdown-backed Kanban boards in Obsidian.","https://github.com/mgmeyers/obsidian-kanban","https://publish.obsidian.md/kanban/Obsidian+Kanban+Plugin"
"Kindle Highlights","1.9.2","Sync your Kindle book highlights using your Amazon login or uploading your My Clippings file","https://hady.geek.nz","N/A"
"Link Converter","0.1.6","Scan all your links in the vault and convert them to your desired format.","https://ozan.pl","N/A"
"List Modified","3.5.0","The advanced and adaptive changelog. Links all modified files meeting certain criteria to a timed (daily, weekly, monthly) note.","https://github.com/franciskafieh","N/A"
"Minimal Theme Settings","8.1.1","Change the colors, fonts and features of Minimal Theme.","https://www.twitter.com/kepano","N/A"
"Omnivore","1.10.4","This is an Omnivore plugin for Obsidian.","https://github.com/omnivore-app","N/A"
"Open Link With","0.1.10","Open external link with specific browser / in-app view in Obsidian","https://github.com/MamoruDS","N/A"
"Opener","2.1.2","Open links in new/existing tabs by default. Open PDFs in System App by default. Can open other file formats in System Apps if desired.","https://github.com/aidan-gibson","N/A"
"Outliner","4.9.0","Work with your lists like in Workflowy or RoamResearch.","https://github.com/vslinko","N/A"
"Paste Mode","5.0.2","Paste content and mark block quotes at any level of indentation.","https://github.com/jglev/obsidian-paste-to-current-indentation","N/A"
"Table of Contents","0.2.0","Create a table of contents for a note.","https://twitter.com/hipstersmoothie","N/A"
"Plugin Update Tracker","1.6.2","Know when installed plugins have updates and evaluate the risk of upgrading","https://github.com/swar8080/obsidian-plugin-update-tracker","N/A"
"Projects","1.17.4","Plain text project planning.","https://marcus.se.net","N/A"
"Quiet Outline","0.3.42","Make outline quiet and more powerful, including no-auto-expand, rendering heading as markdown, and search support.","","N/A"
"Raindrop Highlights","0.0.22","Sync your Raindrop.io highlights.","https://github.com/kaiiiz","N/A"
"Reading Time","1.1.2","Add the current note's reading time to Obsidian's status bar.","https://github.com/avr","N/A"
"Regex Find/Replace","1.2.0","Find and replace text using regular expressions.","https://www.gruware.org","N/A"
"Reminder","1.1.19","Reminder plugin for Obsidian. This plugin adds feature to manage TODOs with reminder.","https://obsidian.md/about","N/A"
"Style Settings","1.0.9","Offers controls for adjusting theme, plugin, and snippet CSS variables.","https://github.com/mgmeyers/obsidian-style-settings","N/A"
"Obsidian Tabs","1.0.7","Opens new leaves in tabs.","https://github.com/gitobsidiantutorial/obsidian-tabs","N/A"
"Task Collector (TC)","1.1.7","Change task status and collect tasks within a document using hotkeys and context menus.","https://github.com/ebullient","N/A"
"Tasks","7.18.5","Track tasks across your vault. Supports due dates, recurring tasks, done dates, sub-set of checklist items, and filtering.","https://github.com/obsidian-tasks-group","https://publish.obsidian.md/tasks/"
"Text Format","3.1.0-b1","Format text such as lowercase/uppercase/capitalize/titlecase, converting order/bullet list, removing redundant spaces/newline characters.","https://github.com/Benature","N/A"
"Text Generator","0.7.47","Text generation using AI","https://text-gen.com","N/A"
"BRAT","1.1.1","Easily install a beta version of a plugin for testing.","https://github.com/TfTHacker/obsidian42-brat","https://tfthacker.com/BRAT"
"Text Transporter","1.0.12","Advanced text tools for working with text in your vault","https://github.com/TfTHacker/obsidian42-text-transporter","https://tfthacker.com/transporter"
"Omnisearch","1.26.1","A search engine that just works","https://github.com/scambier/obsidian-omnisearch","N/A"
"Clear Unused Images","1.1.1","Clear the images that you are not using anymore in your markdown notes to save space.","https://www.ozan.pl","N/A"
"Image in Editor","2.2.6","View Images, Transclusions, iFrames and PDF Files within the Editor without a necessity to switch to Preview.","https://ozan.pl/aboutme/","N/A"
"Pane Relief","0.5.9","Per-tab history, hotkeys for pane/tab movement, navigation, sliding workspace, and more","https://github.com/pjeby","N/A"
"Periodic Notes","0.0.17","Create/manage your daily, weekly, and monthly notes","https://github.com/liamcain/","N/A"
"QuickAdd","1.13.2","Quickly add new pages or content to your vault.","https://bagerbach.com","https://quickadd.obsidian.guide/docs/"
"Recent Files","1.7.4","List files by most recently opened","https://grosinger.net","N/A"
"Remotely Save","0.5.25","Yet another unofficial plugin allowing users to synchronize notes between local device and the cloud service.","https://github.com/fyears","N/A"
"Settings Search","1.3.10","Globally search settings in Obsidian.md","https://github.com/valentine195","N/A"
"Smart Connections","2.5.8","Find links to similar notes using artificial intelligence from OpenAI.","https://wfhbrian.com","N/A"
"Smart Connections Visualizer","1.0.25","View your Smart Connections in a visualized format.","https://github.com/mossy1022","N/A"
"Supercharged Links","0.12.1","Add properties and menu options to links and style them!","https://github.com/mdelobelle/mdelobelle/tree/main","https://github.com/mdelobelle/obsidian_supercharged_links#readme"
"Advanced Tables","0.22.1","Improved table navigation, formatting, manipulation, and formulas","https://grosinger.net","N/A"
"Tag Wrangler","0.6.4","Rename, merge, toggle, and search tags from the tags view","https://github.com/pjeby","N/A"
"Templater","2.11.1","Create and use templates","https://github.com/SilentVoid13","https://silentvoid13.github.io/Templater/"
"Text Extractor","0.5.2","A (companion) plugin to facilitate the extraction of text from images (OCR) and PDFs.","https://github.com/scambier/obsidian-text-extractor","N/A"
"URL Display","1.4.0","Extract and display external URLs of the note in Obsidian.","https://github.com/lin-stephanie","N/A"
"Paste URL into selection","1.7.0","Paste URL "into" selected text.","N/A","N/A"
"Various Complements","10.2.0","This plugin enables you to complete words like the auto-completion of IDE","https://github.com/tadashi-aikawa","N/A"
"Vault Chat","1.3.1","A ChatGPT bot trained on your vault notes. Ask your AI questions about your own thoughts and ideas!","N/A","N/A"
"Vertical Tabs","0.15.2","Offer an alternative view that displays open tabs vertically, allowing users to group and organize tabs for a better navigation experience.","https://github.com/oxdc","N/A"
"Vertical Tabs View","2.6.0","Provides a vertical tabs view.","https://hdykokd.me","N/A"
"Workspaces Plus","0.3.3","Quickly switch and manage workspaces","https://github.com/nothingislost","N/A"

Total plugins: 103
